ORIGGPCD;ORIGGPFR;ORIGFDCD;;ORIGFDNM;;Sodium;Magnésium;Phosphore;Potassium;Calcium;Manganèse;Fer total;Cuivre;Zinc;Sélénium;Iode;Protéines;Protéines brutes (N x 6.25);Glucides;Sucres;Energie kJ, étiquetage;Energie kcal, étiquetage;Amidon;Energie kJ;Energie kcal;Polyols totaux;Fibres alimentaires;Eau;Lipides;AG saturés;AG monoinsaturés;AG polyinsaturés;Rétinol;Bêta-carotène;Vitamine D;Activité vitaminique E (en équivalents alpha-tocophérol);Vitamine C totale;Vitamine B1 ou Thiamine;Vitamine B2 ou Riboflavine;Vitamine B3 ou PP ou Niacine;Vitamine B5 ou Acide pantothénique;Vitamine B6 ou Pyridoxine;Vitamine B12 ou Cobalamines;Vitamine B9 ou Folates totaux;Alcool (éthanol);Acides organiques;Cholestérol
11;Abats;40056;CIQUAL40056;Coeur, poulet, cuit;Coeur, poulet, cuit, CIQUAL;48;20;199;132;19;0,107;4,85;0,502;1,29;25,7;0;16,8;16,8;0,65;0;411;97,5;0;411;97,5;0;0;78,7;3,08;0,666;0,485;1,8;8;0;0;0;1,8;0,07;0,741;7,85;2,65;0,17;7,19;80;0;0;242
11;Abats;40102;CIQUAL40102;Foie, agneau, cru;Foie, agneau, cru, CIQUAL;73;19;390;290;6;0,32;6,94;9,67;4,32;30;5;19,1;19,1;3,25;0;570;136;0;570;136;0;0;71;5,15;1,47;0,924;1,15;2370;72;0,5;0,77;19;0,39;4,64;17,6;8,2;0,391;68,5;205;0;0;430
11;Abats;40103;CIQUAL40103;Foie, agneau, cuit;Foie, agneau, cuit, CIQUAL;90;22,5;424;286;8,5;0,557;7,53;8,45;6,07;0;5;26,4;26,4;6,49;0;895;213;0;895;213;0;0;56,4;9,09;3,39;1,84;1,29;7630;0;0,51;0,38;11,5;0,347;4,31;15,8;7,63;0,66;74,1;310;0;0;410
11;Abats;40104;CIQUAL40104;Foie, génisse, cru;Foie, génisse, cru, CIQUAL;81;19;360;320;6;0,37;5,99;2,5;3,59;39,4;13;19;19;5,09;0;575;136;0;575;136;0;0;70,1;4,46;1,24;0,454;1,6;6810;232;1,1;0,42;23;0,23;2,78;15,3;8,1;0,533;96,3;330;0;0;249
11;Abats;40105;CIQUAL40105;Foie, génisse, cuit;Foie, génisse, cuit, CIQUAL;87,2;17,5;485;368;5,99;0,316;3,9;3,46;3,94;< 2,2;< 5;27,4;27,4;1,26;0;691;164;0;691;164;0;0;64,1;5,5;1,78;0,612;0,765;7730;182;0,855;0,38;10,3;0,253;3,42;17,7;7,72;1,21;42,5;398;0;0;292
11;Abats;40116;CIQUAL40116;Foie, poulet, cuit;Foie, poulet, cuit, CIQUAL;76;25;405;263;11;0,359;10,6;0,496;3,98;0;5;24,5;24,5;0,8;0;671;160;0;671;160;0;0;66,8;6,51;2,06;1,42;1,99;3980;30;0;0;27,9;0,291;1,99;11;6,67;0,755;16,8;578;0;0;563
11;Abats;40106;CIQUAL40106;Foie, veau, cru;Foie, veau, cru, CIQUAL;64,8;22,4;229;287;5,36;0,24;3,98;15,7;8,52;37,8;2,88;15,4;15,4;7,33;0;528;125;0;528;125;0;0;72,1;3,82;1,95;1,49;0,221;2630;11;0,3;0,45;21;0,22;2,52;13,6;8,4;0,455;54,2;155;0;0;370
11;Abats;40107;CIQUAL40107;Foie, veau, cuit;Foie, veau, cuit, CIQUAL;89;28,3;302;450;9;0,286;5,05;20,1;13,2;22;5;25;25;1,57;0;598;142;0;598;142;0;0;67,7;3,96;0;0,993;1,21;10500;43,5;2,52;0,71;13,2;0,147;1,72;18,8;1,81;1,03;71,4;404;0;0;376
11;Abats;40109;CIQUAL40109;Foie, volaille, cuit;Foie, volaille, cuit, CIQUAL;268;18,1;230;0;7,04;0,281;4,8;0,449;3,93;< 2,2;5;24,7;24,7;0,17;0;653;155;0;653;155;0;0;67,4;6,21;0;0;0;14500;0;0,2;0;0;0,371;2,37;14,7;6,75;2,3;19,7;0;0;0;530
11;Abats;40701;CIQUAL40701;Gésier, canard, confit, appertisé;Gésier, canard, confit, appertisé, CIQUAL;766;18,3;126;214;8,5;< 0,1;9,4;< 0,1;6;37;32;32,4;32,4;0;0;632;150;0;632;150;0;0;63,9;2,1;0,904;0,709;0,403;< 2;< 30;< 0,5;0,12;< 1;0,14;0,198;3,6;0,3;0,12;6,8;< 20;0;0;355
11;Abats;40202;CIQUAL40202;Langue, boeuf, crue;Langue, boeuf, crue, CIQUAL;75,3;16,7;176;250;8;0,0275;2,26;0,15;3,31;11,9;2,15;15,1;15,1;0,4;0,4;774;186;0;774;186;0;0;67,7;13,8;5,19;5,92;0,841;0;0;0;0,19;2,93;0,114;9,88;4,2;1,33;0,173;5,1;10,7;0;0;84
11;Abats;40203;CIQUAL40203;Langue, boeuf, cuite;Langue, boeuf, cuite, CIQUAL;383;9,44;144;184;14,5;0,0437;3,06;0,127;2,2;< 2,2;5;22,6;22,6;3,03;0;1010;243;0;1010;243;0;0;57,9;15,6;5,39;7,84;0,917;0;0;0,4;0,24;1,3;0,036;0,303;3,9;0,907;0,138;6,62;7;0;0;138
11;Abats;40201;CIQUAL40201;Langue, veau, cuite;Langue, veau, cuite, CIQUAL;64;18;166;162;9;0,047;2,34;0,21;4,16;0;0;23,4;23,4;0;0;901;216;0;901;216;0;0;60,5;13,6;5,1;5,82;0,826;0;0;0;1,1;6;0,09;0,35;2,04;0,92;0,155;6,05;9;0;0;200
11;Abats;40305;CIQUAL40305;Ris, veau, braisé ou poêlé;Ris, veau, braisé ou poêlé, CIQUAL;59;24;627;435;4;0,021;0,87;0,072;1,56;0;4;21,8;21,8;traces;0;536;127;0;536;127;0;0;73,6;4,46;1,09;1,32;0,305;0;0;0;0,6;39,4;0,072;0,1;3,89;1,42;0,0535;3,88;20;0;0;312
11;Abats;40406;CIQUAL40406;Rognon d'agneau, braisé;Rognon d'agneau, braisé, CIQUAL;210;24,5;325;259;15,5;0,137;12,2;0,51;3,95;0;10;24,1;24,1;0;0;593;141;0;593;141;0;0;68,5;4,96;1,66;0,77;1,02;124;0;0;0,41;10,5;0,455;2,18;7,8;3,57;0,21;79;80;0;0;588
11;Abats;40408;CIQUAL40408;Rognon de veau, braisé ou poêlé;Rognon de veau, braisé ou poêlé, CIQUAL;0;0;0;0;0;0;5;0;4,9;0;10;26;26;0;0;701;167;0;701;167;0;0;67,7;7;1,33;0,799;0,865;260;0;0;1,2;0;0,5;0;6,3;5,6;0,55;42;0;0;0;396
11;Abats;40402;CIQUAL40402;Rognon, boeuf, cru;Rognon, boeuf, cru, CIQUAL;198;16;236;235;10,2;0,16;6,87;0,51;1,56;118;8,73;15,3;15,3;0,85;0,8;373;88,5;0;373;88,5;0;0;79,8;2,65;0,503;0,303;0,328;238;0;0,7;0,7;13,1;0,382;2,39;7,91;3,91;0,356;21,1;71,6;0;0;378
11;Abats;40403;CIQUAL40403;Rognon, boeuf, cuit;Rognon, boeuf, cuit, CIQUAL;94;12;304;135;19;0,185;7,65;0,564;2,97;0;10;27,1;27,1;traces;0;676;161;0;676;161;0;0;66,9;5,82;1,72;0,836;0,753;0;0;1,11;1,03;0;0,295;2,97;5,21;1,95;0,526;25,5;83;0;0;576
11;Abats;40401;CIQUAL40401;Rognon, cuit (aliment moyen);Rognon, cuit (aliment moyen), CIQUAL;57,4;7,01;138;76,6;7,96;0,0756;6,79;0,243;4,18;0;10;26,1;26,1;0;0;679;162;0;679;162;0;0;67,6;6,36;1,49;0,806;0,852;161;0;0,344;1,04;1,42;0,431;1,21;6,16;4,2;0,497;41,9;36,4;0;0;477
11;Abats;40405;CIQUAL40405;Rognon, porc, cuit;Rognon, porc, cuit, CIQUAL;80;18;240;143;13;0,149;5,29;0,683;4,15;0;10;25,4;25,4;traces;0;606;144;0;606;144;0;0;68,7;4,7;1,51;1,55;0,38;78;0;0;0;10,6;0,396;1,59;5,78;2,87;0,46;7,79;41;0;0;480
05.2;Aliments lactés diététiques;19011;CIQUAL19011;Lait de croissance infantile;Lait de croissance infantile, CIQUAL;32,7;7,6;60;91,2;74,7;< 1;< 1;0,007;< 1;< 5;15;1,9;1,86;7,41;0;254;60,5;0;254;60,6;0;0;87,6;2,6;0;0;0;56;< 50;1,4;0,65;0;< 0,06;0,23;0,84;0,39;0,1;0,31;14,7;0;0;3
08.2;Autres matières grasses animales;16550;CIQUAL16550;Graisse de canard;Graisse de canard, CIQUAL;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3690;898;0;3690;898;0;0;0,2;99,8;33,2;49,3;12,9;0;0;4,8;0;0;0;0;0;0;0;0;0;0;0;100
08.2;Autres matières grasses animales;16560;CIQUAL16560;Graisse d'oie;Graisse d'oie, CIQUAL;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3690;898;0;3690;898;0;0;0,2;99,8;27,7;56,7;11;144;0;0;2,7;0;0;0;0;0;0;0;0;0;0;100
08.2;Autres matières grasses animales;17630;CIQUAL17630;Huile de foie de morue;Huile de foie de morue, CIQUAL;0,01;0,04;0;0;0,575;0,001;0,037;0,0035;0,03;0,005;400;0;0;0;0;3700;900;0;3700;900;0;0;0;100;22;46,5;24,3;30000;0;250;30;0;0;0;0;0;0;0;0;0;0;510
08.2;Autres matières grasses animales;17610;CIQUAL17610;Huile de poisson;Huile de poisson, CIQUAL;0;0;0;0;0;0;0;0;0;0;0,8;0;0;0;0;3700;900;0;3700;900;0;0;0;100;22;46,5;24,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.2;Autres matières grasses animales;16530;CIQUAL16530;Lard gras, cru;Lard gras, cru, CIQUAL;640;9;102;177;29;0,001;0,777;0,054;1,14;0;0,5;7,36;7,36;1;0;2700;654;0;2700;654;0;0;20,5;69;24,6;29,3;12,4;10,3;0;1,6;0,07;0,0333;0,346;0,143;2,34;0,363;0,264;0,44;1;0;0;81,3
08.2;Autres matières grasses animales;16520;CIQUAL16520;Saindoux;Saindoux, CIQUAL;1,33;0,667;2,4;0,667;0,6;0,00933;0,0533;0,0133;0,055;2,37;1,37;0,06;0,06;0;0;3700;900;0;3700;900;0;0;0,875;100;44;37,8;9;4,5;0;0;0,7;0;0;0;0;0;0,008;0;0;0;0;95
08.1;Beurres et matières grasses laitières;16412;CIQUAL16412;Beurre allégé (aliment moyen);Beurre allégé (aliment moyen), CIQUAL;168;2,97;8,24;45,1;14,9;0,294;0,335;0,294;0,294;4,77;3,77;3,41;3,41;4,47;0,187;1270;307;0;1270;307;0;0;62,8;30,6;19;7,27;1,03;201;289;0,0588;1,51;0,294;0,0147;0,0147;0,0147;0,0353;0,0147;0,0588;1,47;0;0;60,2
08.1;Beurres et matières grasses laitières;16410;CIQUAL16410;Beurre allégé, 60-62% MG;Beurre allégé, 60-62% MG, CIQUAL;20,7;3,8;35;47,7;36,8;< 1;< 1;< 1;< 1;5,5;2;2,1;2,1;0,6;0,5;2310;562;0;2310;562;0;0;36,7;61,2;39,4;13,2;1,68;417;319;0,7;1,1;< 1;< 0,05;0,09;0,02;0,1;0,11;0,32;1,65;0;0;156
08.1;Beurres et matières grasses laitières;16411;CIQUAL16411;Beurre allégé, 60-62% MG, demi-sel;Beurre allégé, 60-62% MG, demi-sel, CIQUAL;450;3,45;34;42,2;33,4;0;0,595;0;0,26;0;2;2,1;2,1;0,5;0;2190;532;0;2190;532;0;0;39,5;58;37,4;12,5;1,59;456;107;0,6;1,1;0;0,005;0,045;0,02;0;0,01;0,065;1,65;0;0;120
08.1;Beurres et matières grasses laitières;16402;CIQUAL16402;Beurre demi-sel;Beurre demi-sel, CIQUAL;774;4,94;23,7;39;16,5;0,00473;0,154;0,00918;0,0516;< 10;1,75;0,7;0,7;< 1;0,06;3010;732;0;3010;732;0;0;15,3;80,8;54,8;20,2;2,64;800;370;1,13;1,9;0;0,00733;0,033;0,0607;0,11;0,001;0,17;3;0;0;228
08.1;Beurres et matières grasses laitières;16400;CIQUAL16400;Beurre doux;Beurre doux, CIQUAL;15,5;2,03;24;17,8;16,5;0,00184;0,0873;0,0257;0,083;1,8;1,75;0,7;0,686;< 1;0,58;3060;745;0;3060;745;0;0;15,6;82,2;54,9;18,2;2,91;800;328;1,01;1,5;0;0,005;0,0248;0,0273;0,11;0,001;0,085;2;0;0;224
08.1;Beurres et matières grasses laitières;16415;CIQUAL16415;Beurre léger, 39-41% MG;Beurre léger, 39-41% MG, CIQUAL;0;0;0;0;0;0;0,1;0;0;0;2;7;7;1;0;1480;359;0;1480;359;0;0;56,7;36,3;23,1;9,37;1,28;0;0;0;1,22;0;0;0;0;0;0;0;0;0;0;84,5
08.1;Beurres et matières grasses laitières;16416;CIQUAL16416;Beurre léger, 39-41% MG, demi-sel;Beurre léger, 39-41% MG, demi-sel, CIQUAL;0;8;0;80;23;0;0,1;0;0;0;2;7;7;1;1;1600;388;0;1600;388;0;0;51;39,6;22,6;9,18;1,26;0;0;0;2,98;0;0;0;0;0;0;0;0;0;0;0
08.1;Beurres et matières grasses laitières;16713;CIQUAL16713;Matière grasse laitière à 20% MG, légère, à tartiner;Matière grasse laitière à 20% MG, légère, à tartiner, CIQUAL;228;2,3;15;48,1;22,7;< 1;< 1;< 1;< 1;5,8;< 10;0,36;0,36;4,2;0;858;208;4,2;858;208;0;0;72,1;21,1;10,5;4,62;0,705;448;732;0,7;0;< 1;< 0,05;< 0,05;< 0,05;0,08;< 0,05;< 0,2;< 5;0;0;59
08.1;Beurres et matières grasses laitières;16712;CIQUAL16712;Matière grasse laitière à 25% MG, légère, à tartiner;Matière grasse laitière à 25% MG, légère, à tartiner, CIQUAL;286;2,5;14;51,2;18;< 1;< 1;< 1;< 1;8,1;< 10;0,9;0,9;6,9;0;1080;262;2,9;1080;262;0;0;68,8;25,6;16,3;5,85;0,866;342;491;< 0,2;1,15;< 1;< 0,05;< 0,05;< 0,05;0,06;< 0,05;< 0,2;< 5;0;0;70
23.1;Bières et similaires;5001;CIQUAL5001;"Bière ""coeur de marché"" (4-5° alcool)";"Bière ""coeur de marché"" (4-5° alcool), CIQUAL";4,44;7,37;13,5;36,5;< 9;0,0071;< 0,02;< 0,14;< 0,03;< 0,005;1,2;0,367;0,367;1,64;1,64;135;32,3;0;135;32,3;0;0;94,3;0;0;0;0;0;0;0;0;traces;traces;0,02;0,545;0,369;0,03;0,115;4,82;3,47;0;0
23.1;Bières et similaires;5011;CIQUAL5011;"Bière ""de spécialités"" ou d'abbaye, régionales ou d'une brasserie (degré d'alcool variable)";"Bière ""de spécialités"" ou d'abbaye, régionales ou d'une brasserie (degré d'alcool variable), CIQUAL";3,7;7,9;21,5;41,6;4,9;0,008;0,012;0,006;0,018;0,11;1,5;0,4;0,4;3,5;0;200;47,8;0;200;47,8;0;0;91,3;0;0;0;0;0;0;0;0;0;0,006;0,019;0,649;0,139;0,045;0,02;2,6;4,6;0;0
23.1;Bières et similaires;5010;CIQUAL5010;"Bière ""spéciale"" (5-6° alcool)";"Bière ""spéciale"" (5-6° alcool), CIQUAL";1,92;9,84;25;48,8;5,89;0,005;0,006;0,004;0;0,9;1,9;0,5;0,5;3,24;3,24;214;51,3;0;214;51,3;0;0;90,8;< 0,1;0;0;0;0;0;0;0;0;0,04;0,3;0,8;1;0,05;0,2;7,98;5,13;0;0
23.1;Bières et similaires;5000;CIQUAL5000;Bière brune;Bière brune, CIQUAL;15,9;6;10,9;32,7;6,94;traces;0,02;0,07;0,03;traces;4,1;0,3;0,3;4,71;4,1;148;35,3;0;148;35,3;0;0;92,7;traces;traces;traces;traces;0;0;0;0;traces;traces;0,02;0,26;0,1;0,01;0,1;4;2,18;0;0
23.1;Bières et similaires;5002;CIQUAL5002;Bière forte (>8° alcool);Bière forte (>8° alcool), CIQUAL;6,8;9;18,4;64,2;4,3;0,018;0,02;0,009;0,013;0,11;1,75;0,4;0,4;4,6;0;259;62;0;259;62;0;0;88,8;0;0;0;0;0;0;0;0;traces;0,007;0,03;0,47;0,085;0,045;0,02;2,6;6;0;0
23.1;Bières et similaires;5030;CIQUAL5030;Bière sans alcool (<1,2° alcool);Bière sans alcool (<1,2° alcool), CIQUAL;2,51;5,53;9,85;29,3;5,73;0,0075;0,011;< 0,0043;0,0133;< 2,2;1;0,25;0,25;4,67;2,72;110;26;0;110;26;0;0;94;< 0,1;0;0;0;0;0;0;0;0,1;1,33;0,0123;0,65;0,047;0,04;0,08;5;0,836;0;0
02.3;Biscottes et pains non levés;7300;CIQUAL7300;Biscotte classique;Biscotte classique, CIQUAL;484;43,2;122;250;23,4;0,673;1,37;0,135;0,793;< 10;8,43;10,8;11,9;71,7;7,17;1700;404;64,1;1690;399;0;3,89;4,87;6,82;3,12;2,04;1,18;53;0;0,345;1,04;0;0,392;0,142;2,4;0;0,279;0;95,3;0;0;0
02.3;Biscottes et pains non levés;7340;CIQUAL7340;Biscotte complète ou riche en fibres;Biscotte complète ou riche en fibres, CIQUAL;487;77,8;260;350;40,6;2;3,1;< 1;1,9;< 5;< 10;12,2;13,4;65,6;7;1680;400;56,1;1660;395;0;9,2;3,7;7,24;2,41;2,09;1,97;0;< 50;0;2,5;0;0,39;0,13;1,9;0,74;0,47;0;58;0;0;0
02.3;Biscottes et pains non levés;7330;CIQUAL7330;Biscotte multicéréale;Biscotte multicéréale, CIQUAL;648;55,1;186;233;39,5;1,1;1,1;< 1;1,5;< 5;< 10;13;14,3;64,4;6,58;1700;404;57,9;1680;399;0;7,48;4,27;8,3;1,88;1,96;2,07;0;< 50;0;0,49;0;0,16;0,12;1,6;0,58;0,16;0;29;0;0;0
02.3;Biscottes et pains non levés;7310;CIQUAL7310;Biscotte sans adjonction de sel;Biscotte sans adjonction de sel, CIQUAL;< 12,1;22,5;120;161;376;0,7;1,3;0,182;7;< 2,2;6,3;9,93;10,9;73,4;10,1;1700;402;63,4;1680;398;0;5,9;4,32;5,84;2,2;1,6;0,976;0;0;0;4,7;0;0,66;0,22;1,1;0;0,94;0;94;0;0;0,6
02.3;Biscottes et pains non levés;23805;CIQUAL23805;Blini;Blini, CIQUAL;463;14,2;116;137;38,9;0,3;0,6;< 0,1;0,45;< 5;30;5,86;5,86;30,3;1,94;1130;271;28,4;1130;271;0;1,5;47;13,7;8,09;3,31;1,05;23;0;< 0,5;2,4;0;0,106;0,117;0,73;0,35;0,07;0,275;33;0;0;24,7
02.3;Biscottes et pains non levés;7500;CIQUAL7500;Chapelure;Chapelure, CIQUAL;728;55,5;196;270;72,8;1,2;1,8;< 0,1;1,5;< 5;< 10;11,6;12,7;71,5;2,6;1670;395;56,5;1650;391;0;4,5;4,68;5,5;0,22;0,105;0,835;0;< 50;0;0,15;0;0,2;0,09;1;0,71;0,12;0;22;0;0;0
02.3;Biscottes et pains non levés;7430;CIQUAL7430;Croûtons;Croûtons, CIQUAL;246;25;119;161;20;0,617;1,3;0,127;0,712;< 2,2;6,3;13,8;15,1;38,4;0;2350;564;0;2330;559;0;4,2;5;38;13,5;9,27;2,5;0;0;0;0;0;0,08;0,22;1,1;0;0,44;0;30;0;0;0
02.3;Biscottes et pains non levés;7525;CIQUAL7525;Gressins;Gressins, CIQUAL;591;66,3;188;213;48;0,36;1,2;0,25;1,4;< 5;20;14,5;15,9;66,6;1,1;1800;426;54,1;1770;421;0;4;2,73;9,79;2,1;5,41;1,42;0;0;0;1,9;7;0,216;0,082;1,83;0,47;0,111;0,255;72,4;0;0;6
02.3;Biscottes et pains non levés;7420;CIQUAL7420;Pain grillé suédois au blé complet;Pain grillé suédois au blé complet, CIQUAL;635;60,9;213;284;26,8;1,7;1,6;< 1;1,4;< 5;< 10;10,3;11,3;67,3;8,2;1670;397;54,8;1660;393;0;7,51;4,97;7,48;1,04;4,28;1,86;0;< 50;0;0,5;0;0,19;0,11;1,4;0,69;0,25;0;26;0;0;0
02.3;Biscottes et pains non levés;7407;CIQUAL7407;Pain grillé suédois au froment;Pain grillé suédois au froment, CIQUAL;431;23,4;120;163;42,2;< 1;1;0;< 1;< 5;< 10;9,35;10,3;70,4;9,1;1720;407;58,8;1700;404;0;5,4;5,06;8,19;3,01;3,38;1,47;0;< 50;0;0,63;0;0,2;0,07;1,4;0,52;0,14;0;21;0;0;0
02.3;Biscottes et pains non levés;7400;CIQUAL7400;Pain grillé, tranches, au froment;Pain grillé, tranches, au froment, CIQUAL;582;40,5;104;182;27;0,7;1,35;0,18;1;2;4;9,55;10,5;74,6;5,1;1680;396;68,2;1660;393;0;4,42;4,15;5,23;1,87;2,37;0,781;0;0;0;0;0;0,06;0,06;0,9;0,1;0,08;0;31;0;0;0
02.3;Biscottes et pains non levés;7425;CIQUAL7425;Pain grillé, tranches, multicéréale;Pain grillé, tranches, multicéréale, CIQUAL;630;66;194;300;30;0,7;9;0,18;1,5;1,7;4;11;12,1;68,5;6,85;1730;409;61,6;1710;405;0;7,5;2;8;2,21;2,41;2,05;0;0;0;1,5;0;0,2;0,15;1,5;0,1;0,1;0;57;0;0;0
02.3;Biscottes et pains non levés;7180;CIQUAL7180;Pain pita;Pain pita, CIQUAL;530;18,1;84;134;52,7;< 1;1;0;< 1;< 5;< 10;7,6;8,33;53,4;0;1110;261;40,6;1090;258;0;1,2;34,9;1,25;0;0;0;0;< 50;0;< 0,074;0;0,11;0,08;2,6;0,49;0,05;0;21;0;0;0
02.3;Biscottes et pains non levés;7410;CIQUAL7410;Tartine craquante, extrudée et grillée;Tartine craquante, extrudée et grillée, CIQUAL;599;29,8;131;254;42,3;1;1;0;< 1;< 5;< 10;9,6;10,5;74,2;8,47;1620;382;64,2;1600;378;0;3,85;6,4;3,9;0,819;1,57;1,36;0;< 50;0;0,26;0;0,71;0,09;3,3;0,71;0,693;0;72,5;0;0;0
03.3;Biscuits salés apéritifs;38405;CIQUAL38405;Biscuit apéritif à base de pomme de terre, type tuile salée;Biscuit apéritif à base de pomme de terre, type tuile salée, CIQUAL;388;0;0;0;0;0;0;0;0;0;0;4,42;4,42;49,3;0;2140;513;49,3;2140;513;0;11,5;1,85;30,6;15,1;11,3;2,84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37,7
03.3;Biscuits salés apéritifs;38400;CIQUAL38400;Biscuit apéritif soufflé, à base de maïs, sans cacahuète;Biscuit apéritif soufflé, à base de maïs, sans cacahuète, CIQUAL;695;38,5;95,8;371;55,4;0,42;1,2;0,2;0,5;7;11;8,05;8,05;58;3,8;2170;518;56,7;2170;518;0;< 1;1,81;28,1;10,6;7,73;4,3;< 2;33;< 0,5;3,7;3,9;0,165;0,14;3,4;0,62;0,26;0,15;42;0;0;5,6
03.3;Biscuits salés apéritifs;38106;CIQUAL38106;Biscuit apéritif soufflé, à base de pomme de terre;Biscuit apéritif soufflé, à base de pomme de terre, CIQUAL;1440;44,3;129;790;36,5;0,27;1,37;0,18;0,69;0,95;0;5,6;5,6;57,3;0,05;1890;452;53,8;1890;452;0;5,8;5,6;21;8,79;7,71;1,98;0;0;0;0;0;0,251;0,082;2,8;0,53;0,33;0;69;0;0;0
03.3;Biscuits salés apéritifs;38403;CIQUAL38403;Biscuit apéritif, crackers, allégé en matière grasse;Biscuit apéritif, crackers, allégé en matière grasse, CIQUAL;618;29;108;152;72;0,7;2,9;0,2;0,75;0;8;10,2;10,2;68,8;3,47;1750;415;64,2;1750;415;0;6,28;4,05;9,64;2;4,21;1,38;0;0;0;3,2;0;0,442;0,27;3,5;1,9;0,564;0;80;0;0;0
